branch_name,swift_code
Criterion Arbitrage And Trading B.v,CRBDNL21XXX
"Credit Agricole Cheuvreux Netherlands N, Amsterdam",CACHNL21XXX
Cordares Vermogensbeheer B.v.,CORHNL21XXX
Eclipse Options (nl) B.v.,ECOTNL21XXX
Endex European Energy Derivatives Exchange N.v.,EEEDNL21XXX
Effective Traders Amsterdam B.v.,EFTANL21XXX
Edutraders Iii B.v.,EDUINL21XXX
Effectenkantoor Nieuwe Uitleg B.v.,EFNUNL21XXX
Dvb Bank Nv,DVBVNL21XXX
E.d.i. Equity Derivatives Investments B.v.,EEDINL21XXX
Dutch Emissions Authority,DUEANL21XXX
Dutch Options And Futures Institute B.v.,DOFNNL21XXX
Dsm Pensions Services,DSMHNL21XXX
Dsb Bank (zaandam) Nv,SBHONL21XXX
Domix Opties B.v.,DOMENL21XXX
Douchka B.v.,DOUKNL21XXX
Direktbank N.v.,DIRKNL21XXX
Dima Vermogensbeheer B.v.,DIMVNL21XXX
Dijkstra Beaumont Wealth Management B.v.,DBWMNL21XXX
Dexia Bank Nederland Nv,DEXNNL21XXX
Deno Vermogensbeheer B.v.,DEVRNL21XXX
Delta Lloyd Rentefonds,DLRTNL21XXX
Delta Lloyd Asset Management N.v.,DLANNL21XXX
Converse Netherlands B.v.,COVHNL21XXX
Converse Netherlands B.v. Finance Division,CNFDNL21XXX
Consortium Helveticum B.v.,COHENL21XXX
Finles Vermogensbeheer B.v.,FIVMNL21XXX
Financiele Termijnmarket Amsterdam,XFTANL21XXX
First Capital Asset Managers B.v.,FCAMNL21XXX
Financiele Onderneming Smidswater B.v.,FOSMNL21XXX
Finaltrust Vermogensbeheer B.v.,FVERNL21XXX
Fieret En Van Lynden B.v.,FLYNNL21XXX
Fimagro B.v.,FMMANL21XXX
F.i.n.t.,FININL21XXX
Fenc Netherlands B.v.,FENTNL21XXX
Faxtor Securities B.v.,FAXSNL21XXX
Falcinvest Asset Management B.v.,FAMNNL21XXX
Ext B.v.,EXTXNL21XXX
Exxonmobil Capital Netherlands Bv,EXXONL21XXX
"Euronext Irf, Interest Rate Future And Options",XEUINL21XXX
"Euronext Eqf, Equities And Indices Derivatives",XEUENL21XXX
"Euronext Com, Commodities Futures And Options",XEUCNL21XXX
Euro American Participations B.v.,EUAPNL21XXX
Eureffect Asset Management B.v.,EAMNNL21XXX
Ernst En Van Den Broek Vermogensbeheer B.v.,EDBVNL21XXX
Eneco Energy Trade B.v.,ENECNL21XXX
Columbus Group B.v.,COLGNL21XXX
Groenstate Vermogensadvies B.v.,GRVENL21XXX
Groeivermogen N.v.,GROENL21XXX
Grafische Bedrijfsfondsen,GRBENL21XXX
Goris En Ladru Vermogensbeheer B.v.,GOLVNL21XXX
Gooisch Effectenhuis B.v.,GOEFNL21XXX
Global Exchange Trading Services Bv,GETSNL21XXX
Global Derivatives Trading Amsterdam B.v.,GDTANL21XXX
Gestion Nv,GESONL21XXX
Future Surfing B.v.,FUTSNL21XXX
Fortop B.v.,FOTPNL21XXX
Fundix N.v.,FUNXNL21XXX
Fortis (gsla) B.v.,GSLANL21XXX
Franke En Partners Pensioen-advies En Vermogensbeheer Bv,FPPVNL21XXX
Forza Vermogensbeheer B.v.,FORVNL21XXX
Fortis Bank Global Clearing Nv,FBGCNL21XXX
Forger Equity Trading B.v.,FOETNL21XXX
Fluhalp Trading Bv,FLUTNL21XXX
Ide International Derivatives Enterprise B.v.,IIDNNL21XXX
Hot Traders V.o.f.,HOTVNL21XXX
Hopstaken Johannesma En Co B.v.,HOPJNL21XXX
Homburg Participaties B.v.,HOMPNL21XXX
Hof Hoorneman Bankiers Nv,HHBANL22XXX
Hiroshima Bank (europe) N.v.,HIEUNL21XXX
Hiq Trading And Liquidity Providing N.v.,HIQTNL21XXX
Himalayan Fund N.v.,HIFUNL21XXX
Het Haags Effektenkantoor B.v.,HHEFNL21XXX
Hieronymus Options B.v.,HIOPNL21XXX
Hewlett-packard Nederland B.v.,HENLNL21XXX
Het Hollandsch Effectenkantoor B.v.,HHECNL21XXX
Heerema Marine Contractors Finance Bv,HMCFNL2LXXX
Havenbedrijf Rotterdam (port Of Rotterdam,POFRNL2RXXX
Hartwig Ii B.v.,HARTNL21XXX
Gvb Capital Management B.v.,GVCMNL21XXX
Harmony Vermogensbeheer B.v.,HAVENL21XXX
Hanzevast Capital N.v.,HCAPNL21XXX
Gunma Bank Europe N.v.,GUNUNL21XXX
Gruenberg Investments B.v.,GRNVNL21XXX
Flow Traders B.v.,FLTRNL21XXX
Florint B.v.,FLOINL21XXX
First Euro Securities And Derivatives Trading B.v.,FESDNL21XXX
Inter Value Options B.v.,ITVONL21XXX
Intal B.v.,ITTANL21XXX
Instituut Voor Beleggingsstrategie B.v.,INLGNL21XXX
Insinger De Beaufort Asset Management N.v.,IBAMNL21XXX
Inmaxxa B.v.,INMXNL21XXX
Ingramm International N.v.,IGITNL21XXX
Ing Investment Management Netherlands N.v.,INGONL21XXX
Ing Personal Fund Services B.v.,INGQNL21XXX
Ing Im Advisors B.v.,INGWNL21XXX
Ing Direct N.v.,INGDNL21XXX
Ing Asset Management B.v.,INGKNL21XXX
Ing Am Interfinance Sevices B.v.,INGJNL21XXX
Indubel Vermogensbeheer Nv,INVHNL21XXX
Independent Trading Combination Effecten B.v.,ITCFNL21XXX
Ims Institutional Management Services B.v.,IIMSNL21XXX
Imc Trading B.v.,IMTRNL21XXX
Imc Options B.v.,IMOPNL21XXX
Imc Securities B.v.,IMCSNL21XXX
Info Desk Ams,IMCBNL21INF
Market Making Ams,IMCBNL21MMX
Imc B.v.,IMCBNL21XXX
Ifn Finance B.v.,IFFANL21XXX
"Kepler Equities, Amsterdam Branch",JBBRNL21XXX
Kemp Trading Bv T/a Nino Options,KTNONL21XXX
Keijser Capital N.v.,KECLNL21XXX
Kbw Wesselius Effectenbank N.v.,KBWFNL21XXX
Kaldenbach Derivatives Trading B.v.,KADTNL21XXX
Kairos Asset Management B.v.,KAMENL21XXX
Jmc International Marketmakers Combination Bv,JMCINL21XXX
Jansen En Van Noort Vermogensbeheer B.v.,JNVENL21XXX
J And T Private Equity B.v.,PREQNL21XXX
Ivv Asset Management B.v.,IVAENL21XXX
Ivm Vermogensbeheer B.v.,IVMVNL21XXX
Investment Management Group,INMGNL21XXX
Invest4you N.v.,INYONL21XXX
Invest Consult B.v.,IVVCNL21XXX
Interpolis Pensioenen Vermogensbeheer B.v.,INPVNL21XXX
International Card Services B.v.,ICSVNL21XXX
International Bank And Trust Corp.,IBTCNL21XXX
Lunar Vermogensbeheer B.v.,LUVENL21XXX
Loyalis Financial Services N.v.,LOFSNL21XXX
Liquidity,LOYDNL21LIQ
Lentjes En Drossaerts N.v.,LEDRNL21XXX
Lg Electronics European Shared Service Center B.v.,LGETNL21XXX
Leopark Options B.v.,LEOPNL21XXX
Leenen En Spencer Vermogensbeheer B.v.,LESVNL21XXX
Lasalle Investment Management Securities B.v.,LIMUNL21XXX
Leaseplan Corporation N.v.(ref Leaseplan Bank,LPLNNL2FXXX
Lancelot Vermogensbeheer B.v.,LANVNL21XXX
Laaken Asset Management N.v.,LASMNL21XXX
Kopvos En Partners B.v.,KOPPNL21XXX
Kuperus Effecten B.v.,KUPENL21XXX
Koopman International B.v.,KOOMNL21XXX
Koninklijke Dsm N.v.,KDSMNL2HBEL
Koninklijke Dsm N.v.,KDSMNL2HNLD
Koninklijke Dsm N.v.,KDSMNL2HXXX
Klm Uk Pension Scheme,KLPSNL21XXX
Koninklijke Cooperatieve Bloemenveiling Floraholland U.a.,FLHONL2HXXX
Kocbank Nederland N.v.,KOCDNL21XXX
Klinkenberg Traders B.v.,KLTRNL21XXX
Keytrade Bank,KEYTNL21XXX
International Assets Advisory Corporation Europe B.v.,IAACNL21XXX
Interbank N.v.,INKBNL21XXX
Mijn Broker Bv,MBRONL21XXX
Mollema En Van Til Vermogensbeheer B.v.,MOTVNL21XXX
Mnf Bank N.v.,MNFMNL21XXX
Mn Services Vermogensbeheer B.v.,SEVENL21XXX
Mn Services,SEVSNL21XXX
Mn Services Nv (investment Manage Ment,MNSNNL2AXXX
Mmx Trading Bv,MMXTNL21XXX
Metzler Nederland B.v.,MENDNL21XXX
Matrix Asset Management B.v.,MATMNL21XXX
Meeus Vermogensbeheer B.v.,MEEVNL21XXX
Maynard En Keynes B.v.,MAYKNL21XXX
Max Effect B.v.,MAXENL21XXX
Math B.v.,MTTHNL21XXX
Market Wizards B.v.,MARWNL21XXX
Market Makers United B.v.,MMUNNL21XXX
Maas En Van Lingen Vermogensbeheer B.v.,MALVNL21XXX
M.a. En J.h. Damste Beheer B.v.,DAMHNL21XXX
Lynx B.v.,LYNXNL21XXX
M En M Trading B.v.,TRGDNL21XXX
Luyben En Brouwer Capitalmanagement B.v.,LUBCNL21XXX
Noordam Vermogensbeheer B.v.,NVERNL21XXX
Nomura Nederland N.v.,NOMNNL21XXX
Nld Asset Management B.v.,NLAMNL21XXX
Nikko Bank (nederland) N.v.,NIKNNL21XXX
Nike Trading Company Bv,NITCNL21XXX
Nike Trading Company B.v. Singapore Branch,NTCINL21XXX
Nike Sphere C.v.,NIPPNL21XXX
Nike European Operations Netherland S B.v.,NIKENL21XXX
Nike 360 Holding Bv,NIKHNL21XXX
Nike Europe Holding B.v.,NIEHNL21XXX
Nieuwenhuys Brink Crommelin Duurzaam Vermogensbeheer B.v.,NBCDNL21XXX
Nidera B.v.,NIHANL2RXXX
Nibc Private Investment Management N.v.,NPIANL21XXX
Newtrade Derivatives I B.v.,NEDINL21XXX
New Hbu N.v.,NEHBNL21XXX
Nationale Nederlanden Financiele Diensten B.v.,NNFDNL21XXX
N.v. De Vereenigde Effecten Compagnie,VECPNL21XXX
Munnik Opties En Futures Trading B.v.,MOFTNL21XXX
Pensioenfonds Openbaar Vervoer,PEOVNL21XXX
Pensioenfonds Nederlandse Bisdommen,PENMNL21XXX
Pbi Securities B.v.,PBISNL21XXX
Panasonic Global Treasury Center B.v.,PANANL21XXX
Palladyne Asset Management B.v.,PASNNL21XXX
Paerel Trading Partners B.v.,PTRPNL21XXX
Oyens And Van Eeghen Wholesale Brokerage B.v.,OEWBNL21XXX
Oranjeveste B.v.,ORANNL21XXX
Optrix V.o.f.,OPTFNL21XXX
Optra V.o.f.,OPVONL21XXX
Optionsxpress Europe B.v.,OPTENL21XXX
Optiver Vof,OPTVNL21IVE
Optiver Vof,OPTVNL21XXX
Optimix Vermogensbeheer N.v.,OPVENL21XXX
Optima Options B.v.,OPOPNL21XXX
"Oolders, Heijning En Voogelaar B.v.",OOHVNL21XXX
Onafhankelijk Vermogensbeheer 's Gravenhage B.v.,ONVGNL21XXX
Ohv,OHVONL21XXX
Nyenburgh Beheer N.v.,NYENNL21XXX
Ohra Bank N.v.,OHAANL21XXX
Noordnederlands Effektenkantoor B.v.,NOEFNL21XXX
Mr1 Futures B.v.,FURENL21XXX
Interactie Bank N.v.,IACBNL21XXX
Mondiaen Capital Management N.v.,MCANNL21XXX
Ribo Investments B.v.,RIBNNL21XXX
Reaal Bancaire Diensten,REBANL21XXX
Robeco Effectenbank N.v.,ROEFNL21XXX
River Options And Futures Trading B.v.,ROFTNL21XXX
Ritzer En Rouw Private Management B.v.,RRPANL21XXX
Rijnlandse Bank N.v.,RIJNNL21XXX
Rbc Finance B.v.,ROYCNL21XXX
Raet Bv,RAETNL21XXX
Qv Management B.v.,MAGMNL21XXX
Quantrust Vermogensbeheer B.v.,QUVENL21XXX
Pvh Europe B.v.,PVHENL21XXX
Providence Capital N.v.,PRVCNL21XXX
Pvf Nederland N.v.,PVNDNL21XXX
Proventus B.v.,PRVNNL21XXX
Pro Asset Management B.v.,PAMENL21XXX
Petrus Wealth Management B.v.,PEWMNL21XXX
Private Finance B.v.,PRVFNL21XXX
Simon A. Cohen Vermogensbeheer B.v.,SCVRNL21XXX
Postbank Groen N.v.,GRNNNL21XXX
Philipse En Co B.v.,PHIPNL21XXX
Petercam Nederland N.v.,PECSNL21XXX
Siberie Options N.v.,SCVENL21XXX
Sequoia Vermogensbeheer V.o.f.,SEVONL21XXX
Saen Trading B.v.,SATDNL21XXX
Scrocca Option Trading B.v.,SCOGNL21XXX
Scrocca Option Trading B.v.,SCPDNL21XXX
Sares Invest B.v.,SARNNL21XXX
Sels,SECTNL214B0
Sebn,SECTNL214B1
Stbn,SECTNL214B3
Seo,SECTNL214C0
Samsung Electronics Europe Logistics,SECTNL214N0
Samsung Electronics Europe Logistics,SECTNL21XXX
Saened B.v.,SAEDNL21XXX
Saen Options Bv,SAOPNL21XXX
Sabmiller Plc,SABMNL21AFR
Sabmiller Plc,SABMNL21BOT
Sabmiller Plc,SABMNL21MAN
Sabmiller Plc,SABMNL21XXX
Rvo Vermogensadvies B.v.,RVOVNL21XXX
Rv Capital B.v.,CPAINL21XXX
Royal Imtech N.v.,IMTCNL22XXX
Rouws En Ceulen Bureau Voor Vermogensbeheer,RCBVNL21XXX
Rothmans Far East B.v.,BATSNL21XXX
Roparco N.v.,ROPANL21XXX
Ropal Opties B.v.,ROPINL21XXX
Roku Option Traders B.v.,ROPTNL21XXX
Stichting Pensioenfonds Ballast Nedam,SPTDNL21XXX
Stichting Pensioenfonds Blue Sky Group,SPBYNL21XXX
Stichting Pensioenfonds Azl,STNZNL21XXX
Stichting Pensioenfonds Astellas,STFTNL21XXX
Stichting Depositogarantiefonds,STDINL21XXX
Stichting Degiro,STDGNL21XXX
Stichting Beleggingsrekening Ant-trust,STBNNL21XXX
"Stichting Bedrijfstakpensioenfonds Voor De Schoen-, Leder-en Lederwarenindustrie",SBSDNL21XXX
Stichting Axa Beleggingsrekening,STXBNL21XXX
Stichting Algemeen Pensioenfonds Klm,SAEKNL21XXX
Stellio Design,STDENL21XXX
Steentjes Vermogensbeheer B.v.,STVRNL21XXX
State Street Bank Gmbh Amsterdam Branch,SBOSNL2AXXX
Spoorwegpensioenfonds,SPORNL21XXX
Spf Vermogensbeheer B.v.,SPVENL21XXX
Spaar-en Voorschotbank Nv,SVOONL21XXX
Spf Beheer B.v.,SPFENL2USPF
Spf Beheer B.v.,SPFENL2USPV
Spf Beheer B.v.,SPFENL2UXXX
Sns Securities N.v.,SNSCNL21XXX
Sns Individual Account Management B.v.,SIAENL21XXX
Smart Trading,SMTRNL21XXX
Robein Bank N.v.,ROBNNL21XXX
Robeco Securities Lending B.v.,RSELNL21XXX
Sucden (uk) Ltd.,SCDDNL21XXX
Stroeve En Co. Breda N.v.,STBENL21XXX
Stom En Geusebroek B.v.,STGENL21XXX
Stockwave Order Execution B.v.,STOUNL21XXX
Stichting Vakbondsspaarbank Spn,STVSNL21XXX
Stichting Trust Pensioenfonds Pvf N.v.,STPPNL21XXX
Stichting Total Pensioenfonds Nederland,STNENL21XXX
Stichting Pensioenfonds Will Niemeijer,SPWJNL21XXX
Stichting Pensioenfonds Voor Het Vliegend Personeel Klm,SPHHNL21XXX
Stichting Pensioenfonds Tandartsen En Tandartsspecialisten,SPTPNL21XXX
Stichting Pensioenfonds Staples,SPNPNL21CM1
Stichting Pensioenfonds Staples,SPNPNL21CM2
Stichting Pensioenfonds Staples,SPNPNL21OPT
Stichting Pensioenfonds Staples,SPNPNL21XXX
Stichting Pensioenfonds Openbare Bibliotheken,SPNHNL21XXX
Stichting Pensioenfonds Metaal En Techniek,SPMTNL21XXX
Stichting Pensioenfonds Klm-cabinepersoneel,STPKNL21XXX
Stichting Pensioenfonds Huntsman Rozenburg,SPHZNL21XXX
Stichting Pensioenfonds Hoogovens,STPHNL21XXX
Stichting Pensioenfonds Gazelle,STEZNL21XXX
Stichting Pensioenfonds Eriks,STNKNL21XXX
Stichting Pensioenfonds Croda,STSDNL21XXX
Stichting Pensioenfonds Cap Gemini Nederland,SEPGNL21XXX
Transtrend B.v.,TRNENL21XXX
Tradit,TRDTNL21XXX
Tradingport B.v.,TRDNNL21XXX
Tom Broker B.v. (tom Smart Execution,TOMTNL21XXX
Total Investment Services B.v.,TOISNL21XXX
Today's Beheer B.v.,TODBNL21XXX
Tkp Investments Bv,TKPINL21XXX
Tibra Trading Netherlands B.v.,TITNNL21XXX
Tielkemeijer En Partners Vermogensbeheer B.v.,TIPVNL21XXX
Theta Capital Management B.v.,THCMNL21XXX
The Last Lap B.v.,LLAPNL21XXX
Equity Operations,RBOSNL2XEQT
Markets And Int'l Banking Operations,RBOSNL2XTCM
The Royal Bank Of Scotland Plc Amsterdam,RBOSNL2XXXX
The Hague Options I B.v.,HAOPNL21XXX
Teulings Van Der Hoeven Van Beuningen Vermogensbeheer,THBVNL21XXX
Tene Effecten B.v.,TENENL21XXX
Tappel Trading B.v.,TAPRNL21XXX
Swiss Life Asset Management (nederland) B.v.,SLSNNL21XXX
Svb,SOVENL31XXX
Van Der Moolen Obligaties B.v.,MOOINL21XXX
Van Der Moolen Financial Services B.v.,MOFVNL21XXX
Van Der Moolen Effectenspecialist B.v.,MOEFNL21XXX
Van Der Hoop Effecten Bank N.v.,HOEFNL21XXX
Van De Wolken Knappe,VDWKNL21XXX
Van Amstberg Capital Management B.v.,AMCGNL21XXX
Utr8 Bv,UTRUNL21XXX
Unilever,UNLLNL21XXX
Unisys Payment Services And Solutions,UPSONL21XXX
Unilever Plc,UNLENL21XXX
Unilever Beleggingsbank Bv,UNBGNL21XXX
Unigarant Financiele Diensten B.v.,UNFDNL21XXX
Ufj Bank Nederland N.v.,UFJNNL21XXX
Ubs Investment Bank Nederland Bv,SBWRNL21XXX
Triodos Meespierson Sustainable Investment Management B.v.,TMSINL21XXX
Turtle Trading B.v.,TURTNL21XXX
Trustus Capital Management B.v.,TRPGNL21XXX
Trustpartners N.v.,TRUPNL21XXX
Triodos Bank N.v.,TRIONL2UNMC
Travelex Bank N.v.,TRVXNL21XXX
Summer Traders B.v.,SUMRNL21XXX
Sumiclear Europe B.v.,SUCLNL21XXX
Vsb Bank N.v.,VSBVNL21XXX
Vpv Bankiers Nv,VPVGNL21XXX
Volkswagen International Finance N.v,VOIFNL21XXX
Vladeracken B.v.,VLARNL21XXX
Dfm N.v.,VOWANL21DFM
Volkswagen Bank Gmbh Filiaal Nederland,VOWANL21XXX
Vola Financieringsmaatschappij B.v.,VOLFNL21XXX
Vierlander Effecten N.v.,VIEFNL21XXX
Verwer En Janssen Vermogensmanagement B.v.,VJAVNL21XXX
Vermogensparaplu Beheer B.v.,VEBENL21XXX
Vermogens Advies Administratie B.v.,VEADNL21XXX
Verhoef En Van Jaarsveld Vermogensbeheer,VEJVNL21XXX
Velthuijse En Mulder Vermogensbeheer B.v.,VEMVNL21XXX
Vbk Services (netherlands) B.v.,VBKSNLA1XXX
Vattenfall Energy Trading Netherlands Nv,VETTNL21XXX
Van Lieshout En Partners N.v.,LIPANL21XXX
Van Lawick En Co Vermogensbeheer C.v.,LAWVNL21XXX
Van Gansewinkel Groep Bv,VGWGNL2EXXX
Van Doorn Trust And Securities Bv,DOTSNL21XXX
Van Doorn Securities B.v.,VDOSNL21XXX
Van Doorenmalen En Partners Vermogensconsultancy,DOPVNL21XXX
Wtss B.v.,WTSSNL2RXXX
"Wolters, Wolkers En Co B.v.",WOWONL21XXX
Wjm Trading B.v.,WJMTNL21XXX
Winchester Capital B.v.,WIAPNL21XXX
Win Trading B.v.,WITRNL21XXX
Wilshire Associates Europe B.v.,WIAENL21XXX
Westplan Investors Participaties B.v.,WEIPNL21XXX
Wilgenhaege Vermogensbeheer B.v.,WILVNL21XXX
Wijs En Van Oostveen B.v.,WIJSNL21XXX
Westlandutrecht Hypotheekbank N.v.,WEHPNL21XXX
Webb Traders Bv,WETRNL21XXX
Westlandutrecht Effectenbank N.v.,AMSTNL21XXX
Westlandutrecht Bank,WUBKNL21XXX
Wesa-effecten B.v.,WESFNL21XXX
Wealth Management Partners N.v.,WMPANL21XXX
Waterland Investment Services B.v.,WAIENL21XXX
Wallich En Matthes B.v.,WALMNL21XXX
Zest Advice B.v.,ZESANL21XXX
Wallaart Derivatives B.v.,WADENL21XXX
Zwitserleven Vermogensbeheer N.v.,ZWVENL21XXX
Zom Holland B.v.,ZOHONL21XXX
Waerdeveldt B.v. Asset Management Amsterdamse Effectenbeurs,WAMMNL21XXX
Vw International Payment Services,VIPSNL21XXX
